Content,List,ListID,ListNo,ItemID,Sound1,Sound2,ExpAns,type
school,WIPI,1,1,1,FAS_E5M-WIPI-01-01.wav,FAS_E1M-WIPI-01-01.wav,j,EE
ball,WIPI,1,2,2,FAS_E1M-WIPI-01-02.wav,FAS_E5M-WIPI-01-02.wav,j,EE
smoke,WIPI,1,3,3,FAS_E1M-WIPI-01-03.wav,FAS_E5M-WIPI-01-03.wav,j,EE
floor,WIPI,1,4,4,FAS_E1M-WIPI-01-04.wav,FAS_M6M-WIPI-01-04.wav,f,EM
fox,WIPI,1,5,5,FAS_M6M-WIPI-01-05.wav,FAS_E1M-WIPI-01-05.wav,f,EM
hat,WIPI,1,6,6,FAS_E1M-WIPI-01-06.wav,FAS_M6M-WIPI-01-06.wav,f,EM
They watched the movie.,BKB,0,1,7,FAS_M1M-BKBR-00-01.wav,FAS_M6M-BKBR-00-01.wav,j,MM
It is time to go home.,BKB,0,2,8,FAS_M6M-BKBR-00-02.wav,FAS_M1M-BKBR-00-02.wav,j,MM
The tomatoes grew in his garden.,BKB,0,3,9,FAS_M6M-BKBR-00-03.wav,FAS_M1M-BKBR-00-03.wav,j,MM
The boy got into trouble.,HINT,0,1,10,FAS_E5M-HINT-P1-01.wav,FAS_M6M-HINT-P1-01.wav,f,EM
The yellow pears taste good.,HINT,0,2,11,FAS_E5M-HINT-P1-02.wav,FAS_M6M-HINT-P1-02.wav,f,EM
The front yard is pretty.,HINT,0,3,12,FAS_M6M-HINT-P1-03.wav,FAS_E5M-HINT-P1-03.wav,f,EM
