List,ListID,Content,ListNo,WordID,Sound1,Sound2,type,ExpAns
PBK,List 1,please,1,1,FAS_E1M-PBKW-01-01.wav,FAS_E5M-PBKW-01-01.wav,EE,j
PBK,List 1,great,2,2,FAS_E1M-PBKW-01-02.wav,FAS_E5M-PBKW-01-02.wav,EE,j
PBK,List 1,sled,3,3,FAS_E1M-PBKW-01-03.wav,FAS_E5M-PBKW-01-03.wav,EE,j
PBK,List 1,pants,4,4,FAS_E1M-PBKW-01-04.wav,FAS_E5M-PBKW-01-04.wav,EE,j
PBK,List 1,rat,5,5,FAS_E1M-PBKW-01-05.wav,FAS_E5M-PBKW-01-05.wav,EE,j
PBK,List 1,bad,6,6,FAS_E1M-PBKW-01-06.wav,FAS_E5M-PBKW-01-06.wav,EE,j
PBK,List 1,pinch,7,7,FAS_E1M-PBKW-01-07.wav,FAS_E5M-PBKW-01-07.wav,EE,j
PBK,List 1,such,8,8,FAS_E1M-PBKW-01-08.wav,FAS_E5M-PBKW-01-08.wav,EE,j
PBK,List 1,bus,9,9,FAS_E1M-PBKW-01-09.wav,FAS_E5M-PBKW-01-09.wav,EE,j
PBK,List 1,need,10,10,FAS_E1M-PBKW-01-10.wav,FAS_E5M-PBKW-01-10.wav,EE,j
PBK,List 1,ways,11,11,FAS_E1M-PBKW-01-11.wav,FAS_E5M-PBKW-01-11.wav,EE,j
PBK,List 1,five,12,12,FAS_E1M-PBKW-01-12.wav,FAS_E5M-PBKW-01-12.wav,EE,j
PBK,List 1,moth,13,13,FAS_E1M-PBKW-01-13.wav,FAS_E5M-PBKW-01-13.wav,EE,j
PBK,List 1,rag,14,14,FAS_E1M-PBKW-01-14.wav,FAS_E5M-PBKW-01-14.wav,EE,j
PBK,List 1,put,15,15,FAS_E1M-PBKW-01-15.wav,FAS_E5M-PBKW-01-15.wav,EE,j
PBK,List 1,fed,16,16,FAS_E1M-PBKW-01-16.wav,FAS_E5M-PBKW-01-16.wav,EE,j
PBK,List 1,fold,17,17,FAS_E1M-PBKW-01-17.wav,FAS_E5M-PBKW-01-17.wav,EE,j
PBK,List 1,hurt,18,18,FAS_E1M-PBKW-01-18.wav,FAS_E5M-PBKW-01-18.wav,EE,j
PBK,List 1,no,19,19,FAS_E1M-PBKW-01-19.wav,FAS_E5M-PBKW-01-19.wav,EE,j
PBK,List 1,box,20,20,FAS_E1M-PBKW-01-20.wav,FAS_E5M-PBKW-01-20.wav,EE,j
PBK,List 1,are,21,21,FAS_E1M-PBKW-01-21.wav,FAS_E5M-PBKW-01-21.wav,EE,j
PBK,List 1,teach,22,22,FAS_E1M-PBKW-01-22.wav,FAS_E5M-PBKW-01-22.wav,EE,j
PBK,List 1,slice,23,23,FAS_E1M-PBKW-01-23.wav,FAS_E5M-PBKW-01-23.wav,EE,j
PBK,List 1,is,24,24,FAS_E1M-PBKW-01-24.wav,FAS_E5M-PBKW-01-24.wav,EE,j
PBK,List 1,tree,25,25,FAS_M1M-PBKW-01-25.wav,FAS_M6M-PBKW-01-25.wav,MM,j
PBK,List 1,smile,26,26,FAS_M1M-PBKW-01-26.wav,FAS_M6M-PBKW-01-26.wav,MM,j
PBK,List 1,bath,27,27,FAS_M1M-PBKW-01-27.wav,FAS_M6M-PBKW-01-27.wav,MM,j
PBK,List 1,slip,28,28,FAS_M1M-PBKW-01-28.wav,FAS_M6M-PBKW-01-28.wav,MM,j
PBK,List 1,ride,29,29,FAS_M1M-PBKW-01-29.wav,FAS_M6M-PBKW-01-29.wav,MM,j
PBK,List 1,end,30,30,FAS_M1M-PBKW-01-30.wav,FAS_M6M-PBKW-01-30.wav,MM,j
PBK,List 1,pink,31,31,FAS_M1M-PBKW-01-31.wav,FAS_M6M-PBKW-01-31.wav,MM,j
